Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month-Year,Age Group,Cost per Unit,Inventory Days,Profit Margin %,Inventory Turnover
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,2023-11,Young Adult,37.19,59,25.62,0.05
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2023-02,Young Adult,407.3,37,18.54,0.05
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,2023-01,Adult,21.98,79,26.73,0.01
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,2023-05,Adult,360.41,25,27.92,0.04
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,2023-05,Young Adult,36.48,20,27.04,0.1
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,2023-04,Adult,26.96,46,10.13,0.02
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,2023-03,Adult,20.41,46,18.36,0.04
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,2023-02,Young Adult,17.87,67,28.52,0.06
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,2023-12,Senior,232.4,85,22.53,0.02
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,2023-10,Senior,37.81,37,24.38,0.11
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2023-02,Youth,41.18,30,17.64,0.07
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,2023-10,Young Adult,19.65,54,21.4,0.06
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,2023-08,Youth,368.24,83,26.35,0.04
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,2023-01,Senior,21.05,14,29.83,0.29
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,2023-01,Adult,355.18,43,28.96,0.09
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2023-02,Youth,379.6,15,24.08,0.2
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,2023-04,Young Adult,20.89,72,16.44,0.06
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,2023-04,Adult,18.11,89,27.56,0.02
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,2023-09,Senior,20.24,68,19.04,0.03
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,2023-11,Youth,268.35,75,10.55,0.04
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,2023-01,Adult,364.2,15,27.16,0.07
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,2023-10,Teen,40.79,85,18.42,0.02
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,2023-04,Young Adult,24.95,72,16.83,0.06
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,2023-11,Adult,269.24,65,10.25,0.02
